"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration1(Surveillance-pop)"
"08/12/2022 13:48:16:386 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"20","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","27.47","1","91.26623376623377","154","535","-381","216","3","0","9.027659574467974","1"
"58","6","9","false","5","10","false","true","20","2","0.5","25","10","10","100","8396","27.97","5","91.42574257425743","202","535","-333","328","0","0","3.9913978494623135","0"
"17","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","24.67","0","91.0875","160","535","-375","208","0","0","8.453763440860111","0"
"22","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","28.93","0","91.56637168141593","226","535","-309","434","0","0","6.749473684210464","0"
"52","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","27.96","4","91.25806451612904","186","535","-349","269","0","0","4.212903225806406","0"
"51","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","27.92","0","91.33816425120773","207","535","-328","356","3","0","4.948936170212706","1"
"6","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","26.47","2","91.46892655367232","177","535","-358","227","0","0","11.049462365591282","0"
"27","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","28.12","0","90.79005524861878","181","535","-354","287","0","0","5.633684210526263","0"
"93","6","9","false","5","10","false","true","20","8","0.1","25","10","10","0","8396","26.32","11","91.46551724137932","174","535","-361","268","70","0","55.638202247190605","58"
"73","6","9","false","5","10","false","true","20","2","1","25","10","10","40","8396","26.979999999999997","1","91.45685279187818","197","535","-338","320","0","0","5.452173913043402","0"
"76","6","9","false","5","10","false","true","20","2","1","25","10","10","60","8396","26.66","4","92.3586956521739","184","535","-351","291","0","0","3.4813186813186383","0"
"95","6","9","false","5","10","false","true","20","8","0.1","25","10","10","0","8396","27.250000000000004","18","92.45508982035928","167","535","-368","251","63","0","55.93863636363587","56"
"74","6","9","false","5","10","false","true","20","2","1","25","10","10","40","8396","26.88","1","91.75625","160","535","-375","263","5","0","5.557303370786454","0"
"79","6","9","false","5","10","false","true","20","2","1","25","10","10","60","8396","25.419999999999998","4","91.20472440944881","127","535","-408","161","7","0","4.1685393258426515","0"
"81","6","9","false","5","10","false","true","20","2","1","25","10","10","80","8396","27.689999999999998","2","91.62790697674419","172","535","-363","240","0","0","3.4088888888888342","0"
"83","6","9","false","5","10","false","true","20","2","1","25","10","10","80","8396","27.12","2","90.61979166666667","192","535","-343","265","0","0","3.0630434782608127","0"
"87","6","9","false","5","10","false","true","20","2","1","25","10","10","100","8396","26.52","2","90.828125","192","535","-343","291","0","0","1.8043478260869346","0"
"80","6","9","false","5","10","false","true","20","2","1","25","10","10","60","8396","28.98","1","91.41666666666667","204","535","-331","325","0","0","3.7582417582417156","0"
"102","6","9","false","5","10","false","true","20","8","0.1","25","10","10","40","8396","24.01","75","91.7910447761194","134","535","-401","290","155","0","41.57999999999957","24"
"77","6","9","false","5","10","false","true","20","2","1","25","10","10","60","8396","27.689999999999998","4","92.1105527638191","199","535","-336","364","0","0","3.3612903225806052","0"
"82","6","9","false","5","10","false","true","20","2","1","25","10","10","80","8396","25.81","4","91.65142857142857","175","535","-360","271","0","0","2.7488888888888603","0"
"94","6","9","false","5","10","false","true","20","8","0.1","25","10","10","0","8396","24.77","7","92.1048951048951","143","535","-392","220","54","0","53.24347826086912","49"
"96","6","9","false","5","10","false","true","20","8","0.1","25","10","10","20","8396","21.47","65","91.21100917431193","109","535","-426","174","91","0","44.599999999999575","29"
"108","6","9","false","5","10","false","true","20","8","0.1","25","10","10","60","8396","28.96","38","92.24864864864865","185","535","-350","362","147","0","35.24222222222188","14"
"85","6","9","false","5","10","false","true","20","2","1","25","10","10","80","8396","29.38","2","92.81","200","535","-335","326","0","0","2.671739130434744","0"
"88","6","9","false","5","10","false","true","20","2","1","25","10","10","100","8396","27.42","3","91.73480662983425","181","535","-354","276","0","0","1.8444444444444221","0"
"105","6","9","false","5","10","false","true","20","8","0.1","25","10","10","40","8396","26.900000000000002","49","91.28823529411764","170","535","-365","342","161","0","39.60215053763396","17"
"97","6","9","false","5","10","false","true","20","8","0.1","25","10","10","20","8396","26.68","81","91.17021276595744","188","535","-347","386","164","1","43.16923076923035","31"
"84","6","9","false","5","10","false","true","20","2","1","25","10","10","80","8396","28.249999999999996","4","91.26804123711341","194","535","-341","332","0","0","2.606451612903192","0"
"78","6","9","false","5","10","false","true","20","2","1","25","10","10","60","8396","27.41","2","91.92380952380952","210","535","-325","383","0","0","3.561797752808957","0"
"75","6","9","false","5","10","false","true","20","2","1","25","10","10","40","8396","27.450000000000003","2","91.53926701570681","191","535","-344","303","1","0","5.380219780219698","0"
"91","6","9","false","5","10","false","true","20","8","0.1","25","10","10","0","8396","29.49","29","91.00995024875621","201","535","-334","367","70","0","53.812903225805954","55"
