"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M2-SAFIRe_model.nlogo"
"replication_treeKillers"
"06/12/2024 10:57:38:325 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","engagés-initiaux","nombre-bergers","proba-denonce","proba-discu","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","coordination-RNA","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages","stock-mil-g","nbTreekilled_hearder","nbTreekilled_cutter","nbTreekilled_grower"
"18","9","5","90","80","8","0.7","25","10","true","10","10","10192","19.98","0","[95 94 88 97 96 93 93 100 87 91 99 98 95 95 88 94 95 99 97 100 88 99 98 91 92 87 94 98 99 88 97 95 90 94 94 87 94 96 87 100 93 98 89 98 90 90 93 98 93 87 90 91 88 87 88]","55","60","60","1","101.2021739130505","84","42190.89759999844","1653","4092","10854"
"33","9","5","90","80","8","0.7","25","10","true","10","30","10192","17.549999999999997","0","[92 91 87 97 100 93 99 91 93 93 97 95 98 95 97 89 93]","17","0","0","0","320.15913978495513","92","42200.41279999862","3031","3165","8176"
"51","9","5","90","80","8","0.7","25","10","true","10","30","10192","20.41","0","[91 99 92 89 98 92 91 97 94 88 89 95 100 90 94 87 99 93 90 93 97 89 89 88 91 93 92 87 95 96 95 96 87 100 95 99 88 100 88 99 92 94 95 91 95 99 95 93 87 94 94 90 89 91 88 92 98 87 93 87 91 96 94 87 98 100]","66","134","129","4","33.858139534883875","6","41721.39759999822","3634","3615","9775"
"6","9","5","90","80","8","0.7","25","10","true","10","10","10192","20.03","0","[93 97 92 93 99 93 91 93 94 90 99 90 99 91 88 88 98 100 89 90 89 91 89 87 88 94 89 93 97 96 100 88 99 92 92 96 97 97 91 96 100 96 93 98 97 94 96 97 91 87 95 98 96 100 91 88 100 93 90 93 94 93 93 96 94 97 93 100 90 100]","70","70","70","0","107.9297872340499","85","42776.58319999857","1587","4253","11624"
"9","9","5","90","80","8","0.7","25","10","true","10","10","10192","14.219999999999999","0","[94 92 96 90 100 92 90 98 88 89 89 96 91 87 92 95 97 97 98 96 96 91 95 98 96 93 94 91 93]","29","8","8","0","183.87096774194484","92","41497.53999999852","1386","3803","10099"
"49","9","5","90","80","8","0.7","25","10","true","10","30","10192","19.99","0","[88 94 94 88 95 87 96 97 91 91 90 88 93 94 98 95 99 98 87 89 90 93 89 96 97 87 95 95 90 96 87 93 94 88 91 95 90 90 100 98 89 88 96 90 100 100 91 100 92 97 99 90 92 89 89 96 87 94 87 90 95 94 99 94 93 91 95 93 90 87]","70","131","129","0","35.97582417582418","7","42435.53839999833","3968","3508","10190"
"24","9","5","90","80","8","0.7","25","10","true","10","10","10192","20.04","0","[96 90 90 92 92 90 99 88 98 94 96 94 90 97 88 87 92 97 99 95 88 87 91 97 99 93 93 95 97 87 98 96 92 97 91 100 92 93 95 100 92 99 89 92 95 88 99 98 90 97 97 92 97 91 95 91 99 87 88 94 89 91 89 90]","64","82","81","0","89.03125000000631","89","42105.26079999829","1571","4295","11290"
"35","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.52","0","[92 94 93 97 95 99 92 95 93 99 88 96 91 96 96 94 94 90 92 87 96 92 88 90 97 91 94 87 90 87 95 91 93 95 97 97 89 98 94 98 97 100 94 94 87 88 89 91 94 92 100 96 100]","53","30","29","0","36.49213483146245","42","41752.19679999842","3618","3517","9381"
"38","9","5","90","80","8","0.7","25","10","true","10","30","10192","17.54","0","[96 91 97 92 98 90 87 97 94 89 92 94 91 87 87 87 89 100 87 100 90 92 93 87 100 99 95 95 89 95 98 100 93 87 94]","35","16","16","1","126.61758241758906","81","41537.35359999842","3222","3345","9031"
"10","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.810000000000002","0","[87 95 89 88 93 87 100 95 90 92 98 97 95 95 98 89 87 90 100 98 96 96 95 89 87 90 95 89 87 99 100 87 87 88 89 97 92 89 100 94 87 100 99 99 96 99 100 90 97 93 88 96 96 100 94 95 88 94 96 91 92 93 100 93 94 93 100 94 93]","69","73","71","1","91.45319148936886","83","41216.84159999833","1594","4188","11755"
