evolution$generation,evolution$evaluated,probaDiscu,fréquenceRéu,tpsAuChamp,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
8400,25231,75.29966004705757,10.0,100.0,52545.4383999942,36.0,1,"[0.2]","[86.64]","[100.0]","[10.0]","[10.0]","[5.0]","[75.29966004705757]","[230.0]","[50.0]","[1213209404]","[7959.214399996694]","[true]","[36.0]","[52545.4383999942]","[1.0]","[25.0]","[3583.0]","[true]","[9.0]","[96.0]","[3048.0]","[false]","[10.0]","[244.0]"
8400,25231,100.0,7.751895187650748,77.57533031067001,52271.75119999456,38.0,11,"[0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2]","[85.53,86.15,86.00999999999999,85.17,85.18,85.99,85.50999999999999,85.79,86.41,87.83999999999999,87.0]","[77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001,77.57533031067001]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748,7.751895187650748]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0]","[352.0,367.0,380.0,373.0,388.0,301.0,382.0,364.0,294.0,319.0,359.0]","[50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0]","[-1584982024,-350717730,1015333275,-1766078952,257232798,1996312926,-1892925839,442657111,-1861395912,509784123,-165293436]","[7794.13819999656,7696.669999996477,7737.672999996685,6918.489399996666,6600.856999996591,6364.479399996882,6675.0379999969955,7227.482999996762,6796.231599996732,6040.6495999968465,7331.774599996475]","[true,true,true,true,true,true,true,true,true,true,true]","[40.0,32.0,40.0,40.0,22.0,28.0,38.0,45.0,40.0,33.0,36.0]","[53409.81919999424,53221.7687999942,52320.07839999444,52548.94399999435,52244.20719999444,51757.679999994565,50913.581599994715,52271.75119999456,51888.3887999943,51130.678399994584,52837.154399994215]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0]","[3080.0,3200.0,3089.0,3066.0,3229.0,3215.0,3142.0,3159.0,3183.0,3273.0,3142.0]","[true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[93.0,94.0,93.0,95.0,94.0,92.0,91.0,93.0,93.0,100.0,92.0]","[2545.0,2665.0,2554.0,2531.0,2694.0,2680.0,2607.0,2624.0,2648.0,2738.0,2607.0]","[false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[240.0,240.0,240.0,241.0,240.0,240.0,240.0,240.0,243.0,240.0,240.0]"
8400,25231,41.86774682716618,9.535436304044264,11.153712538978121,46602.69519999682,37.0,3,"[0.2,0.2,0.2]","[47.69,52.82,53.879999999999995]","[11.153712538978121,11.153712538978121,11.153712538978121]","[10.0,10.0,10.0]","[9.535436304044264,9.535436304044264,9.535436304044264]","[5.0,5.0,5.0]","[41.86774682716618,41.86774682716618,41.86774682716618]","[1482.0,1309.0,1367.0]","[50.0,50.0,50.0]","[1266872063,-2107741011,451048478]","[883.3485999994227,3663.8527999992803,1487.751599999152]","[true,true,true]","[34.0,37.0,44.0]","[46222.587999997115,47811.12559999689,46602.69519999682]","[1.0,1.0,1.0]","[25.0,25.0,25.0]","[663.0,903.0,784.0]","[true,true,true]","[9.0,9.0,9.0]","[89.0,90.0,94.0]","[128.0,368.0,249.0]","[false,false,false]","[10.0,10.0,10.0]","[192.0,210.0,199.0]"
8400,25231,80.99972407183057,9.983691232261696,7.097226313993861,46048.05919999742,47.0,5,"[0.2,0.2,0.2,0.2,0.2]","[48.49,41.410000000000004,46.62,45.36,44.39]","[7.097226313993861,7.097226313993861,7.097226313993861,7.097226313993861,7.097226313993861]","[10.0,10.0,10.0,10.0,10.0]","[9.983691232261696,9.983691232261696,9.983691232261696,9.983691232261696,9.983691232261696]","[5.0,5.0,5.0,5.0,5.0]","[80.99972407183057,80.99972407183057,80.99972407183057,80.99972407183057,80.99972407183057]","[1385.0,1536.0,1434.0,1502.0,1710.0]","[50.0,50.0,50.0,50.0,50.0]","[-1676722499,1789530073,1102148526,-1289800074,152745948]","[609.2857999998232,153.80819999977393,43.13139999959094,948.2647999999317,1519.2393999997948]","[true,true,true,true,true]","[32.0,53.0,42.0,48.0,47.0]","[46082.864799997435,45595.58639999747,45895.815999997234,46199.05039999756,46048.05919999742]","[1.0,1.0,1.0,1.0,1.0]","[25.0,25.0,25.0,25.0,25.0]","[789.0,496.0,692.0,569.0,534.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[94.0,89.0,92.0,91.0,91.0]","[254.0,-39.0,157.0,34.0,-1.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[206.0,200.0,202.0,201.0,208.0]"
8400,25231,98.90401173885407,8.382441521019912,100.0,52131.15159999435,44.0,2,"[0.2,0.2]","[89.37,86.69]","[100.0,100.0]","[10.0,10.0]","[8.382441521019912,8.382441521019912]","[5.0,5.0]","[98.90401173885407,98.90401173885407]","[333.0,275.0]","[50.0,50.0]","[-1134491522,202114128]","[6863.025799996649,7149.796399996681]","[true,true]","[48.0,40.0]","[52019.59839999428,52242.704799994426]","[1.0,1.0]","[25.0,25.0]","[3412.0,3339.0]","[true,true]","[9.0,9.0]","[92.0,95.0]","[2877.0,2804.0]","[false,false]","[10.0,10.0]","[240.0,244.0]"
8400,25231,38.304952214134396,4.798364315598464,35.86704936783733,42552.47519999802,41.0,1,"[0.2]","[29.79]","[35.86704936783733]","[10.0]","[4.798364315598464]","[5.0]","[38.304952214134396]","[1531.0]","[50.0]","[1915557798]","[-2640.593199999741]","[true]","[41.0]","[42552.47519999802]","[1.0]","[25.0]","[251.0]","[true]","[9.0]","[94.0]","[-284.0]","[false]","[10.0]","[104.0]"
8400,25231,17.813906502216657,5.18774978485318,0.0,43321.07799999822,43.0,4,"[0.2,0.2,0.2,0.2]","[19.869999999999997,26.58,30.349999999999998,28.16]","[0.0,0.0,0.0,0.0]","[10.0,10.0,10.0,10.0]","[5.18774978485318,5.18774978485318,5.18774978485318,5.18774978485318]","[5.0,5.0,5.0,5.0]","[17.813906502216657,17.813906502216657,17.813906502216657,17.813906502216657]","[333.0,362.0,351.0,364.0]","[50.0,50.0,50.0,50.0]","[-1273925692,-1919358706,-160826093,965633566]","[-1610.7605999990337,-2319.6429999996762,-2440.523599999411,-3066.836599999857]","[true,true,true,true]","[34.0,49.0,38.0,48.0]","[43837.277599998706,43117.87839999817,43524.27759999827,41773.731199997936]","[1.0,1.0,1.0,1.0]","[25.0,25.0,25.0,25.0]","[77.0,173.0,230.0,181.0]","[true,true,true,true]","[9.0,9.0,9.0,9.0]","[94.0,90.0,89.0,92.0]","[-458.0,-362.0,-305.0,-354.0]","[false,false,false,false]","[10.0,10.0,10.0,10.0]","[25.0,26.0,35.0,0.0]"
8400,25231,11.367488719314773,9.692573611723747,0.0,41835.95559999808,56.5,2,"[0.2,0.2]","[24.240000000000002,25.3]","[0.0,0.0]","[10.0,10.0]","[9.692573611723747,9.692573611723747]","[5.0,5.0]","[11.367488719314773,11.367488719314773]","[575.0,568.0]","[50.0,50.0]","[318798444,269496913]","[-3326.814399999639,-3510.0445999995063]","[true,true]","[59.0,54.0]","[41997.5887999981,41674.322399998055]","[1.0,1.0]","[25.0,25.0]","[126.0,159.0]","[true,true]","[9.0,9.0]","[92.0,93.0]","[-409.0,-376.0]","[false,false]","[10.0,10.0]","[34.0,21.0]"
8400,25231,100.0,9.062099086794372,18.32322388063551,50618.35999999568,31.0,1,"[0.2]","[69.0]","[18.32322388063551]","[10.0]","[9.062099086794372]","[5.0]","[100.0]","[1073.0]","[50.0]","[-352376999]","[5773.034599997991]","[true]","[31.0]","[50618.35999999568]","[1.0]","[25.0]","[1613.0]","[true]","[9.0]","[90.0]","[1078.0]","[false]","[10.0]","[210.0]"
8400,25231,86.0527786042095,8.255395942784702,100.0,52163.82879999435,24.0,1,"[0.2]","[86.94]","[100.0]","[10.0]","[8.255395942784702]","[5.0]","[86.0527786042095]","[326.0]","[50.0]","[881170588]","[7523.893999996661]","[true]","[24.0]","[52163.82879999435]","[1.0]","[25.0]","[3351.0]","[true]","[9.0]","[92.0]","[2816.0]","[false]","[10.0]","[236.0]"
