"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration2(Surveillance-déléguée)"
"08/13/2022 21:36:40:118 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"15","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","30","19","91.54679802955665","203","535","-332","347","14","0","12.779545454545307","2"
"34","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","27.05","18","91.02424242424243","165","535","-370","239","7","0","7.930337078651591","0"
"32","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","29.5","22","90.94339622641509","212","535","-323","405","0","0","8.888172043010654","0"
"23","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","25.7","11","91.29447852760737","163","535","-372","188","0","0","7.936956521739019","1"
"25","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","27.16","26","91.81920903954803","177","535","-358","307","2","0","8.62391304347816","0"
"50","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","28.77","155","91.71573604060913","197","535","-338","453","159","12","49.61489361702078","39"
"71","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","26.38","177","91.42857142857143","168","535","-367","303","142","14","33.51458333333293","14"
"31","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","27.04","16","92.52682926829269","205","535","-330","317","3","0","7.440425531914804","0"
"64","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","25.81","167","91.44852941176471","136","535","-399","258","116","33","39.42978723404201","18"
"80","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","27.1","166","91.51891891891891","185","535","-350","457","216","17","34.60689655172366","20"
"90","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","27.83","157","79.66995073891626","203","535","-332","737","592","281","57.62272727272886","72"
"77","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","27.36","178","91.08176100628931","159","535","-376","295","127","32","29.893333333332848","18"
"76","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","25.53","160","91.58450704225352","142","535","-393","249","133","8","35.353191489361265","19"
"82","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","28.77","163","84.98190045248869","221","535","-314","773","542","239","58.32391304348094","73"
"93","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","25.990000000000002","149","91.59146341463415","164","535","-371","494","351","160","54.01555555555645","69"
"87","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","27.87","152","91.94082840236686","169","535","-366","358","183","20","43.54782608695738","46"
"88","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","27.07","154","91.35602094240838","191","535","-344","575","374","189","55.77111111111177","69"
"73","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","27.689999999999998","165","91.83870967741936","186","535","-349","413","155","1","39.39294117647021","10"
"83","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","27.26","163","92.06741573033707","178","535","-357","524","318","117","43.63555555555452","57"
"95","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","27.889999999999997","169","91.55223880597015","201","535","-334","731","444","190","49.89772727272811","61"
"89","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","33.83","168","75.88256227758008","281","535","-254","1091","637","229","69.00851063829946","82"
"81","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","26.3","149","91.5505617977528","178","535","-357","455","279","61","47.27741935483989","65"
"86","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","30.270000000000003","166","75.87931034482759","232","535","-303","816","537","168","65.26021505376441","84"
"91","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","25.88","155","91.87943262411348","141","535","-394","495","386","177","59.81956521739123","77"
"111","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","24.26","51","92.184","125","535","-410","140","15","0","13.60869565217365","4"
"112","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","28.18","116","91.44680851063829","188","535","-347","310","54","0","21.818390804597342","10"
"74","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","24.15","172","90.26724137931035","116","535","-419","166","106","2","37.11956521739084","19"
"85","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","33.269999999999996","126","91.48275862068965","261","535","-274","818","354","131","51.22173913043745","63"
"96","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","24.86","174","90.01829268292683","164","535","-371","425","276","101","44.47956989247307","53"
"84","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","31.41","153","87.34482758620689","232","535","-303","817","520","216","57.57849462365944","72"
"109","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","25.94","106","91.71604938271605","162","535","-373","248","80","0","22.505376344085704","12"
"105","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","26.66","35","91.8109756097561","164","535","-371","277","0","0","11.01573033707851","1"
"98","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","26.88","166","91.56213017751479","169","535","-366","445","252","55","55.80425531915044","63"
"75","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","27.800000000000004","177","91.36082474226804","194","535","-341","484","251","97","40.01489361702076","27"
"115","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","23.369999999999997","72","91.19047619047619","126","535","-409","151","27","0","16.347126436781345","4"
"104","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","29.12","106","92.06043956043956","182","535","-353","268","41","0","16.862365591397506","11"
"78","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","27.46","164","92.0989010989011","182","535","-353","358","152","6","37.56774193548341","18"
"92","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","33.62","168","61.67132867132867","286","535","-249","1166","760","364","65.07865168539554","78"
"130","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","42.870000000000005","197","41.02107279693487","522","535","-13","1957","893","493","66.93176470588557","76"
"94","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","28.63","176","69.6926406926407","231","535","-304","872","633","236","71.12577319588051","86"
"107","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","28.21","71","91.14594594594594","185","535","-350","319","31","0","16.294505494505376","5"
"117","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","24.67","114","91.7","170","535","-365","309","92","3","19.744444444444156","3"
"118","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","27.83","111","91.05405405405405","185","535","-350","299","31","3","16.150537634409073","4"
"110","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","25.03","96","92.0952380952381","147","535","-388","229","86","0","27.33124999999993","19"
"100","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","35.25","194","57.484756097560975","328","535","-207","1455","907","520","76.92210526316188","84"
"97","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","30.56","147","81.1219512195122","205","535","-330","778","585","314","79.88421052631938","85"
"116","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","27.27","100","90.93877551020408","196","535","-339","366","86","0","27.98526315789473","13"
"79","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","24.87","166","90.37762237762237","143","535","-392","288","129","0","36.09677419354775","23"
"99","1","9","false","5","50","true","false","80","2","0.1","25","10","10","10","8396","31.61","169","61.78846153846154","260","535","-275","1025","705","359","67.5354838709717","77"
"123","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","43.97","199","33.59019264448336","571","535","36","2170","1009","537","73.54725274725716","82"
"119","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","27.1","63","90.8905472636816","201","535","-334","353","54","0","18.247727272727076","6"
"132","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","48.32","199","37.727858293075684","621","535","86","2367","934","512","78.65555555556024","86"
"102","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","27.810000000000002","73","91.65116279069767","172","535","-363","300","67","0","19.756989247311466","12"
"106","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","24.69","85","91.50574712643679","174","535","-361","307","79","0","28.234408602150328","13"
"131","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","46.51","195","34.2398316970547","713","535","178","2526","935","508","71.92666666667026","83"
"108","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","24.959999999999997","61","91.09803921568627","153","535","-382","166","10","0","17.133333333333223","5"
"103","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","22.040000000000003","122","91.77450980392157","102","535","-433","99","43","0","25.32765957446814","16"
"121","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","49.24","196","31.4979020979021","715","535","180","2609","969","545","79.31648351648982","82"
"128","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","41.92","194","41.268181818181816","440","535","-95","1575","824","379","71.8065934065966","82"
"134","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","45.95","200","39.74426807760141","567","535","32","2294","940","469","65.76000000000418","80"
"120","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","27.16","113","91.43333333333334","180","535","-355","302","116","4","22.69450549450506","23"
"101","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","25.25","107","91.01342281879195","149","535","-386","216","89","0","19.907368421052002","12"
"127","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","43.34","199","39.6465661641541","597","535","62","2110","842","358","73.04666666667262","80"
"113","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","23.66","73","91.86131386861314","137","535","-398","154","12","0","10.481818181817973","2"
"129","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","46.36","199","38.575456053067995","603","535","68","2313","877","425","74.6615384615425","86"
"122","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","43.84","202","34.8235294117647","595","535","60","2184","906","467","70.1510204081698","92"
"125","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","43.580000000000005","195","40.34637964774951","511","535","-24","1896","899","444","66.04946236559438","84"
"124","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","43.95","201","37.303602058319036","583","535","48","2148","876","457","71.09890109890668","85"
"135","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","36.64","195","47.42409638554217","415","535","-120","1650","851","426","70.30638297872888","87"
"126","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","51.9","199","28.649061032863848","852","535","317","3262","1120","647","80.46170212766604","91"
"114","1","9","false","5","50","true","false","80","2","0.1","25","10","10","80","8396","28.95","80","91.46969696969697","198","535","-337","304","88","0","23.02653061224445","16"
"133","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","46.63","199","35.67228177641654","653","535","118","2508","985","549","72.62978723404574","89"
"137","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","40.45","199","42.33615221987315","473","535","-62","1744","880","432","63.784782608696965","83"
"139","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","42.620000000000005","203","37.38434163701068","562","535","27","2009","882","476","77.17954545455214","82"
"136","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","46.739999999999995","191","37.395833333333336","624","535","89","2370","865","414","76.55913978495153","86"
"140","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","39.32","194","45.71002132196162","469","535","-66","1773","894","507","69.78556701031243","89"
"138","1","9","false","5","50","true","false","80","8","0.1","25","10","10","10","8396","45.879999999999995","204","32.336551724137934","725","535","190","2864","1126","645","76.9224489795989","93"
"142","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","63.56","211","24.232432432432432","1110","535","575","5068","2048","1236","88.56421052631777","94"
"143","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","74.81","210","18.694543297746144","1686","535","1151","6949","2007","1157","79.13103448275987","85"
"141","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","62.99","203","23.009981851179674","1102","535","567","4956","1961","1198","73.54000000000184","89"
"144","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","70.17","211","20.8588679245283","1325","535","790","5685","1997","1327","75.732608695654","91"
"163","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","44.629999999999995","185","37.91588785046729","535","535","0","2095","999","501","559.3999999999772","92"
"168","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","43.309999999999995","185","42.05019305019305","518","535","-17","1991","943","525","554.8382022471784","89"
"162","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","47.83","197","32.74866310160428","748","535","213","2918","1004","528","562.9978494623352","92"
"145","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","70.36","204","20.5071477195371","1469","535","934","6040","1932","1097","83.97931034482856","86"
"172","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","45.2","192","33.799668874172184","604","535","69","2254","970","538","507.1697674418494","86"
"167","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","44.34","185","35.824120603015075","597","535","62","2311","1079","645","618.4484210526044","95"
