evolution$generation,evolution$evaluated,nbSurveillants,tpsAuChamp,probaDiscu,qPrésenceBrousse,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
20000,20000,6.549930149475602,59.94728451811937,34.09277659083948,0.23882563067691023,30.565350369732837,49326.7967999954,36.0,2,"[0.23882563067691023,0.23882563067691023]","[76.05,69.78]","[59.94728451811937,59.94728451811937]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[34.09277659083948,34.09277659083948]","[252.0,221.0]","[50.0,50.0]","[-1435121315,1859344685]","[5000.73839999771,5598.25539999779]","[false,false]","[36.0,37.0]","[49326.7967999954,50178.65759999549]","[6.549930149475602,6.549930149475602]","[30.565350369732837,30.565350369732837]","[2114.0,1817.0]","[true,true]","[9.0,9.0]","[13.435257780122345,14.045951315582451]","[1579.0,1282.0]","[true,true]","[10.0,10.0]","[240.0,240.0]"
20000,20000,9.136858898137012,69.8040313904923,33.677680486879225,0.4416879883355135,6.748370304105865,46715.62559999732,51.0,1,"[0.4416879883355135]","[50.14999999999999]","[69.8040313904923]","[10.0]","[2.0]","[5.0]","[33.677680486879225]","[126.0]","[50.0]","[-2051677968]","[1654.5179999996326]","[false]","[51.0]","[46715.62559999732]","[9.136858898137012]","[6.748370304105865]","[723.0]","[true]","[9.0]","[10.069105917653891]","[188.0]","[true]","[10.0]","[240.0]"
20000,20000,7.802467659686653,28.7893887288887,99.60146937647109,0.019752090034212633,20.524552728557506,47509.143199996826,47.0,1,"[0.019752090034212633]","[57.56]","[28.7893887288887]","[10.0]","[2.0]","[5.0]","[99.60146937647109]","[197.0]","[50.0]","[350271919]","[2605.0989999990197]","[false]","[47.0]","[47509.143199996826]","[7.802467659686653]","[20.524552728557506]","[1177.0]","[true]","[9.0]","[12.175635214848837]","[642.0]","[true]","[10.0]","[242.0]"
20000,20000,13.287223689846192,58.56746970311883,26.24220320183803,0.7190850893904639,36.27142618672625,50531.97199999519,44.0,1,"[0.7190850893904639]","[78.53]","[58.56746970311883]","[10.0]","[2.0]","[5.0]","[26.24220320183803]","[91.0]","[50.0]","[-1747428125]","[5788.37159999751]","[false]","[44.0]","[50531.97199999519]","[13.287223689846192]","[36.27142618672625]","[2564.0]","[true]","[9.0]","[6.99920481289621]","[2029.0]","[true]","[10.0]","[247.0]"
20000,20000,13.5766955745346,15.993852973796669,40.54128457459772,0.24000265307783106,18.13070687149708,48626.17759999622,33.0,4,"[0.24000265307783106,0.24000265307783106,0.24000265307783106,0.24000265307783106]","[61.83,66.57,67.0,63.0]","[15.993852973796669,15.993852973796669,15.993852973796669,15.993852973796669]","[10.0,10.0,10.0,10.0]","[2.0,2.0,2.0,2.0]","[5.0,5.0,5.0,5.0]","[40.54128457459772,40.54128457459772,40.54128457459772,40.54128457459772]","[97.0,102.0,86.0,72.0]","[50.0,50.0,50.0,50.0]","[-1875857718,-733008144,-1917202841,-1683788854]","[3836.1905999984665,4488.294799998272,4742.200399998081,4655.123799998473]","[false,false,false,false]","[44.0,41.0,41.0,33.0]","[48626.17759999622,49716.41919999596,49596.97839999592,49482.795999996146]","[13.5766955745346,13.5766955745346,13.5766955745346,13.5766955745346]","[18.13070687149708,18.13070687149708,18.13070687149708,18.13070687149708]","[1316.0,1346.0,1358.0,1312.0]","[true,true,true,true]","[9.0,9.0,9.0,9.0]","[6.849973138856948,6.997284389154946,6.702661888558948,6.849973138856948]","[781.0,811.0,823.0,777.0]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[249.0,246.0,247.0,246.0]"
20000,20000,1.0,66.04014715063808,100.0,0.3483308103933849,37.61319010976759,42798.36799999818,29.0,3,"[0.3483308103933849,0.3483308103933849,0.3483308103933849]","[55.86,24.47,81.52000000000001]","[66.04014715063808,66.04014715063808,66.04014715063808]","[10.0,10.0,10.0]","[2.0,2.0,2.0]","[5.0,5.0,5.0]","[100.0,100.0,100.0]","[1496.0,963.0,1793.0]","[50.0,50.0,50.0]","[-1081623750,944362177,1819115806]","[2137.2265999989977,-2481.338799999474,7211.144399996912]","[false,false,false]","[40.0,57.0,29.0]","[47490.61359999682,42798.36799999818,52294.287199994615]","[1.0,1.0,1.0]","[37.61319010976759,37.61319010976759,37.61319010976759]","[933.0,140.0,2614.0]","[true,true,true]","[9.0,9.0,9.0]","[84.0,85.0,93.0]","[398.0,-395.0,2079.0]","[true,true,true]","[10.0,10.0,10.0]","[215.0,102.0,220.0]"
20000,20000,16.44849362712921,98.83393256183624,92.38345976780667,0.17408295116959566,50.0,52158.82079999424,35.0,1,"[0.17408295116959566]","[91.42]","[98.83393256183624]","[10.0]","[2.0]","[5.0]","[92.38345976780667]","[70.0]","[50.0]","[-265324710]","[7013.077999996509]","[false]","[35.0]","[52158.82079999424]","[16.44849362712921]","[50.0]","[5219.0]","[true]","[9.0]","[5.471625672247526]","[4684.0]","[true]","[10.0]","[250.0]"
20000,20000,9.818447744637476,52.02036829130785,100.0,0.3171173243741174,38.94885311952645,51630.72719999438,43.0,1,"[0.3171173243741174]","[87.78]","[52.02036829130785]","[10.0]","[2.0]","[5.0]","[100.0]","[142.0]","[50.0]","[-1786126562]","[6098.11639999671]","[false]","[43.0]","[51630.72719999438]","[9.818447744637476]","[38.94885311952645]","[3951.0]","[true]","[9.0]","[9.268267486548606]","[3416.0]","[true]","[10.0]","[249.0]"
20000,20000,12.457816105264229,65.56627501304925,16.81000652690276,0.4213004599774268,7.877037780275487,46371.07519999769,41.0,1,"[0.4213004599774268]","[41.44]","[65.56627501304925]","[10.0]","[2.0]","[5.0]","[16.81000652690276]","[91.0]","[50.0]","[-1127242651]","[946.1364000001195]","[false]","[41.0]","[46371.07519999769]","[12.457816105264229]","[7.877037780275487]","[557.0]","[true]","[9.0]","[7.545463763932023]","[22.0]","[true]","[10.0]","[231.0]"
20000,20000,16.9256876323842,61.730022927078274,65.26220114300118,0.02351161050541299,22.834252050959382,49311.52239999603,38.0,2,"[0.02351161050541299,0.02351161050541299]","[66.75,66.74]","[61.730022927078274,61.730022927078274]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[65.26220114300118,65.26220114300118]","[53.0,53.0]","[50.0,50.0]","[316630087,1768624763]","[5260.090199998078,3956.8833999982235]","[false,false]","[46.0,38.0]","[50244.76319999582,49311.52239999603]","[16.9256876323842,16.9256876323842]","[22.834252050959382,22.834252050959382]","[1663.0,1520.0]","[true,true]","[9.0,9.0]","[5.376443307738244,5.199197923966654]","[1128.0,985.0]","[true,true]","[10.0,10.0]","[250.0,247.0]"
