"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillant"
"08/01/2022 10:09:37:146 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","S-repreZ","tps-au-champ","participants","malus-nb-chps","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"69","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.11","5460","37.34","150","423","60.4809523809546","27","37.103019999993556"
"68","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.11","5460","43.57","150","582","113.95955056180281","88","62.56243999996732"
"70","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.11","5460","42.79","150","508","105.1608695652237","76","-45.422559999999066"
"67","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.11","5460","44.940000000000005","150","582","104.34042553192184","85","-26.12297999999064"
"71","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.21","5460","36.61","150","384","58.462921348316186","39","-110.42639999993989"
"72","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.21","5460","35.949999999999996","136","361","65.82365591397897","26","-280.9738399999718"
"74","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.21","5460","37.18","150","385","42.43404255319246","39","-105.56863999999113"
"76","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.31","5460","38.01","131","395","61.05000000000183","62","-5.627739999977348"
"75","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.21","5460","39.86","150","415","64.64631578947662","69","-190.51683999999221"
"73","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.21","5460","38.37","139","444","72.62061855670277","63","-93.44927999997162"
"78","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.31","5460","36.59","132","352","26.902325581395957","12","-262.66333999998824"
"79","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.31","5460","35.03","15","342","1.263529411764688","0","-261.5490599999954"
"77","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.31","5460","38.65","118","370","19.96263736263756","11","-92.71685999998081"
"80","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.31","5460","36.35","146","357","27.063043478260788","23","-72.3468199999792"
"81","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.41","5460","37.04","34","338","1.3422222222221984","0","-279.15843999999197"
"83","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.41","5460","36.1","23","346","0.860869565217379","0","-201.20265999994734"
