"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillance-déléguée"
"08/03/2022 09:29:14:545 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","coordination-RNA","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","malus-nb-chps","tps-au-champ","participants","[step]","coupeurs-attrapes","nb-arbres","nb-engages","nb-coupe"
"79","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","479","86","132"
"80","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","423","86","150"
"81","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","479","76","146"
"82","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","440","71","138"
"84","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","478","79","138"
"83","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","152","512","88","113"
"85","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","72","356","0","122"
"86","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","149","341","23","197"
"87","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","100","342","0","202"
"88","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","146","379","56","198"
"90","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","134","380","20","217"
"89","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","113","365","0","187"
"92","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","93","353","0","174"
"91","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","95","356","0","198"
"94","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","74","339","0","179"
"93","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","72","353","0","175"
"96","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","88","346","0","195"
"97","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","66","321","0","195"
"95","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","120","342","14","225"
"98","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","69","339","0","161"
"99","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","61","366","0","195"
"100","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","91","350","1","248"
"101","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","65","357","0","161"
"102","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","59","355","0","175"
"104","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","46","335","0","147"
"103","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","56","348","0","190"
"106","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","90","348","0","228"
"105","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","25","354","0","120"
"107","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","61","360","0","224"
"108","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","56","351","4","233"
"109","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","157","540","85","13"
"110","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","155","531","87","13"
"114","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","160","591","90","10"
"112","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","157","566","94","14"
"113","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","156","579","83","15"
"111","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","158","649","93","23"
"115","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","151","551","91","73"
"116","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","523","89","77"
"117","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","484","78","119"
"118","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","437","75","100"
"119","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","152","483","89","77"
"121","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","429","87","127"
"122","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","139","355","41","178"
