evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_delatMil,objective$om_trees,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,om_delatMil,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbChampsVisités,om_delatArbres,nbCoupeurs,om_caughtCutter
100,376,44.071924514731194,0.2,3.223655715597795,14.519093397741313,20.0,20.0,-792.6551111111114,132.0,1,"[0.2]","[26.040000000000003]","[44.071924514731194]","[14.519093397741313]","[3.223655715597795]","[5.0]","[20.0]","[false]","[1868.0]","[1975298598]","[-792.6551111111114]","[true]","[55.0]","[43186.98879999823]","[false]","[8.0]","[35.0]","[132.0]","[8396.0]","[40.0]","[20.0]","[true]","[5.0]","[-403.0]","[10.0]","[86.0]"
100,376,57.324319562759996,0.3680628477831587,2.0150537525045777,21.879900028986494,35.198143056108286,77.76616744813762,-454.1135708112112,161.0,2,"[0.3680628477831587,0.3680628477831587]","[27.08,25.979999999999997]","[57.324319562759996,57.324319562759996]","[21.879900028986494,21.879900028986494]","[2.0150537525045777,2.0150537525045777]","[5.0,5.0]","[35.198143056108286,35.198143056108286]","[false,false]","[2548.0,2523.0]","[454555892,-1971092995]","[245.19505617977518,-1153.4221978021976]","[true,true]","[52.0,54.0]","[42986.16799999821,43571.10239999832]","[false,false]","[8.0,8.0]","[35.0,35.0]","[167.0,155.0]","[8396.0,8396.0]","[40.0,40.0]","[77.76616744813762,77.76616744813762]","[true,true]","[5.0,5.0]","[-368.0,-380.0]","[10.0,10.0]","[170.0,194.0]"
100,376,63.24028995321618,0.7608801799144611,1.4615093463021145,19.58037878206092,23.052899819088278,44.496922474652074,-517.2595911615267,181.5,2,"[0.7608801799144611,0.7608801799144611]","[26.900000000000002,28.42]","[63.24028995321618,63.24028995321618]","[19.58037878206092,19.58037878206092]","[1.4615093463021145,1.4615093463021145]","[5.0,5.0]","[23.052899819088278,23.052899819088278]","[false,false]","[1679.0,1801.0]","[-2143038431,-292493352]","[-948.5619780219782,-85.95720430107525]","[true,true]","[51.0,44.0]","[42107.76479999805,42661.14879999808]","[false,false]","[8.0,8.0]","[35.0,35.0]","[163.0,200.0]","[8396.0,8396.0]","[40.0,40.0]","[44.496922474652074,44.496922474652074]","[true,true]","[5.0,5.0]","[-372.0,-335.0]","[10.0,10.0]","[37.0,64.0]"
100,376,50.144936478385574,0.7266520023406999,1.036616924064046,29.449904059811285,36.44430991430727,72.4697239177222,-494.19978260869556,126.0,1,"[0.7266520023406999]","[23.27]","[50.144936478385574]","[29.449904059811285]","[1.036616924064046]","[5.0]","[36.44430991430727]","[false]","[2350.0]","[1361520119]","[-494.19978260869556]","[true]","[54.0]","[42790.605599998344]","[false]","[8.0]","[35.0]","[126.0]","[8396.0]","[40.0]","[72.4697239177222]","[true]","[5.0]","[-409.0]","[10.0]","[152.0]"
100,376,44.071924514731194,0.8,3.223655715597795,18.921039803056463,25.85686442836819,20.0,-46.67782608695654,115.0,1,"[0.8]","[23.77]","[44.071924514731194]","[18.921039803056463]","[3.223655715597795]","[5.0]","[25.85686442836819]","[false]","[2188.0]","[183185944]","[-46.67782608695654]","[true]","[55.0]","[43110.867199998334]","[false]","[8.0]","[35.0]","[115.0]","[8396.0]","[40.0]","[20.0]","[true]","[5.0]","[-420.0]","[10.0]","[154.0]"
100,376,24.321722811152377,0.2,3.2802259671632665,14.191854324478605,34.001500352361646,52.927533762095436,-1124.2421505376344,157.0,1,"[0.2]","[24.990000000000002]","[24.321722811152377]","[14.191854324478605]","[3.2802259671632665]","[5.0]","[34.001500352361646]","[false]","[1990.0]","[-1114951427]","[-1124.2421505376344]","[true]","[50.0]","[43127.14319999832]","[false]","[8.0]","[35.0]","[157.0]","[8396.0]","[40.0]","[52.927533762095436]","[true]","[5.0]","[-378.0]","[10.0]","[123.0]"
100,376,55.89945246715061,0.32784857073834606,1.2181277303941496,10.006350036627433,42.3676751285749,67.56634328249149,-1135.4514606741573,163.0,1,"[0.32784857073834606]","[25.069999999999997]","[55.89945246715061]","[10.006350036627433]","[1.2181277303941496]","[5.0]","[42.3676751285749]","[false]","[1503.0]","[700745853]","[-1135.4514606741573]","[true]","[53.0]","[43097.59599999837]","[false]","[8.0]","[35.0]","[163.0]","[8396.0]","[40.0]","[67.56634328249149]","[true]","[5.0]","[-372.0]","[10.0]","[55.0]"
100,376,55.89945246715061,0.46653626791113134,1.0,10.006350036627433,20.0,47.657750492385716,-285.1702173913044,130.0,1,"[0.46653626791113134]","[22.56]","[55.89945246715061]","[10.006350036627433]","[1.0]","[5.0]","[20.0]","[false]","[1123.0]","[-992882790]","[-285.1702173913044]","[true]","[56.0]","[42430.27999999836]","[false]","[8.0]","[35.0]","[130.0]","[8396.0]","[40.0]","[47.657750492385716]","[true]","[5.0]","[-405.0]","[10.0]","[4.0]"
100,376,68.67486635463254,0.5366790722735232,3.458512804404994,8.378274666758792,48.53982620549135,49.769099861558175,-836.1571428571428,141.0,1,"[0.5366790722735232]","[25.369999999999997]","[68.67486635463254]","[8.378274666758792]","[3.458512804404994]","[5.0]","[48.53982620549135]","[false]","[1821.0]","[-665993115]","[-836.1571428571428]","[true]","[56.0]","[41888.66479999812]","[false]","[8.0]","[35.0]","[141.0]","[8396.0]","[40.0]","[49.769099861558175]","[true]","[5.0]","[-394.0]","[10.0]","[99.0]"
100,376,71.5007797052873,0.2,2.8732289630621004,5.0,22.065082857598455,50.69950445349473,-604.1188581560283,202.0,2,"[0.2,0.2]","[29.82,30.86]","[71.5007797052873,71.5007797052873]","[5.0,5.0]","[2.8732289630621004,2.8732289630621004]","[5.0,5.0]","[22.065082857598455,22.065082857598455]","[false,false]","[1319.0,1291.0]","[-1728050050,-794515273]","[-1180.2763829787234,-27.961333333333243]","[true,true]","[49.0,49.0]","[43732.61039999825,43631.69919999818]","[false,false]","[8.0,8.0]","[35.0,35.0]","[187.0,217.0]","[8396.0,8396.0]","[40.0,40.0]","[50.69950445349473,50.69950445349473]","[true,true]","[5.0,5.0]","[-348.0,-318.0]","[10.0,10.0]","[31.0,27.0]"
