evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,probaDenonce,probaDiscu,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
33200,33200,28.517991163338717,0.7769914396643416,8.594567673260107,65.27826430223784,64.57141641366901,48.85753964103535,52486.343999994046,47.0,1,"[0.7769914396643416]","[92.29]","[28.517991163338717]","[10.0]","[8.594567673260107]","[5.0]","[64.57141641366901]","[403.0]","[65.27826430223784]","[-1517249236]","[7150.860599996362]","[true]","[47.0]","[52486.343999994046]","[1.0]","[48.85753964103535]","[4855.0]","[true]","[9.0]","[91.0]","[4320.0]","[false]","[10.0]","[240.0]"
33200,33200,90.04724412768437,0.11645659232320812,7.2545957993856796,52.79129664134975,97.25349976413617,14.115551835394584,50146.85679999543,30.0,1,"[0.11645659232320812]","[76.0]","[90.04724412768437]","[10.0]","[7.2545957993856796]","[5.0]","[97.25349976413617]","[394.0]","[52.79129664134975]","[-252848162]","[4777.757199997803]","[true]","[30.0]","[50146.85679999543]","[1.0]","[14.115551835394584]","[1980.0]","[true]","[9.0]","[93.0]","[1445.0]","[false]","[10.0]","[240.0]"
33200,33200,74.23844067200065,0.8116754922075406,1.9044805217832819,83.87267320168816,63.72718134927214,39.41091501326845,51581.147999994406,29.0,2,"[0.8116754922075406,0.8116754922075406]","[87.25,88.14]","[74.23844067200065,74.23844067200065]","[10.0,10.0]","[1.9044805217832819,1.9044805217832819]","[5.0,5.0]","[63.72718134927214,63.72718134927214]","[52.0,52.0]","[83.87267320168816,83.87267320168816]","[724567108,1257420656]","[6115.519199996714,6840.677599996794]","[true,true]","[29.0,43.0]","[51581.147999994406,52130.024799994426]","[1.0,1.0]","[39.41091501326845,39.41091501326845]","[4235.0,4110.0]","[true,true]","[9.0,9.0]","[100.0,93.0]","[3700.0,3575.0]","[false,false]","[10.0,10.0]","[250.0,250.0]"
33200,33200,34.16963531951615,0.782816952522801,5.355872097324653,77.7654013678677,84.21330514044924,8.143738397783725,47648.61599999618,32.0,5,"[0.782816952522801,0.782816952522801,0.782816952522801,0.782816952522801,0.782816952522801]","[68.32000000000001,67.35,69.72,68.24,65.81]","[34.16963531951615,34.16963531951615,34.16963531951615,34.16963531951615,34.16963531951615]","[10.0,10.0,10.0,10.0,10.0]","[5.355872097324653,5.355872097324653,5.355872097324653,5.355872097324653,5.355872097324653]","[5.0,5.0,5.0,5.0,5.0]","[84.21330514044924,84.21330514044924,84.21330514044924,84.21330514044924,84.21330514044924]","[260.0,270.0,220.0,244.0,269.0]","[77.7654013678677,77.7654013678677,77.7654013678677,77.7654013678677,77.7654013678677]","[-175088602,-574190519,-1804568136,-849623218,-1459723977]","[5473.4309999982725,4099.673999998209,5232.483599997904,2778.000199998445,2694.116199998505]","[true,true,true,true,true]","[44.0,32.0,37.0,41.0,37.0]","[50058.71599999588,49247.41999999594,49769.5039999956,48543.295199996006,47648.61599999618]","[1.0,1.0,1.0,1.0,1.0]","[8.143738397783725,8.143738397783725,8.143738397783725,8.143738397783725,8.143738397783725]","[1388.0,1450.0,1462.0,1337.0,1404.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,94.0,93.0,96.0,91.0]","[853.0,915.0,927.0,802.0,869.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[239.0,242.0,243.0,226.0,236.0]"
33200,33200,32.31066720018829,0.6825920233373269,2.6685594885386914,24.785256938634607,85.42465567283104,25.465994204105733,49344.32479999591,43.0,1,"[0.6825920233373269]","[68.25]","[32.31066720018829]","[10.0]","[2.6685594885386914]","[5.0]","[85.42465567283104]","[730.0]","[24.785256938634607]","[1802228590]","[4841.233599997999]","[true]","[43.0]","[49344.32479999591]","[1.0]","[25.465994204105733]","[1359.0]","[true]","[9.0]","[90.0]","[824.0]","[false]","[10.0]","[197.0]"
33200,33200,0.0,0.9834868622641907,3.468823141836088,0.0,92.0522471828179,5.0,43373.787199998085,55.0,1,"[0.9834868622641907]","[26.479999999999997]","[0.0]","[10.0]","[3.468823141836088]","[5.0]","[92.0522471828179]","[685.0]","[0.0]","[-121348026]","[-1566.1267999998672]","[true]","[55.0]","[43373.787199998085]","[1.0]","[5.0]","[147.0]","[true]","[9.0]","[90.0]","[-388.0]","[false]","[10.0]","[137.0]"
33200,33200,20.495359523500763,0.2975046026316463,9.381100699996963,5.433374436867595,45.8549254177835,16.96635737378168,47920.29999999632,32.0,1,"[0.2975046026316463]","[60.040000000000006]","[20.495359523500763]","[10.0]","[9.381100699996963]","[5.0]","[45.8549254177835]","[1526.0]","[5.433374436867595]","[663300699]","[3024.6441999985545]","[true]","[32.0]","[47920.29999999632]","[1.0]","[16.96635737378168]","[957.0]","[true]","[9.0]","[95.0]","[422.0]","[false]","[10.0]","[169.0]"
33200,33200,100.0,0.35251304423010404,3.308334936388013,41.551626113226256,94.27035239301219,26.871564511222704,52744.255999994224,43.0,1,"[0.35251304423010404]","[86.7]","[100.0]","[10.0]","[3.308334936388013]","[5.0]","[94.27035239301219]","[272.0]","[41.551626113226256]","[49374122]","[7327.9559999965495]","[true]","[43.0]","[52744.255999994224]","[1.0]","[26.871564511222704]","[3414.0]","[true]","[9.0]","[95.0]","[2879.0]","[false]","[10.0]","[243.0]"
33200,33200,16.571144003674515,0.038880541619162705,6.813100930528554,5.8747826308782924,46.97176638055355,38.99010134130642,46691.0863999972,45.0,1,"[0.038880541619162705]","[47.68]","[16.571144003674515]","[10.0]","[6.813100930528554]","[5.0]","[46.97176638055355]","[1249.0]","[5.8747826308782924]","[-2060084843]","[1158.3503999997265]","[true]","[45.0]","[46691.0863999972]","[1.0]","[38.99010134130642]","[707.0]","[true]","[9.0]","[94.0]","[172.0]","[false]","[10.0]","[182.0]"
33200,33200,61.414378911406274,0.8217976247549009,10.0,62.105793043831994,40.92755711388042,5.0,47329.85679999668,46.0,1,"[0.8217976247549009]","[58.199999999999996]","[61.414378911406274]","[10.0]","[10.0]","[5.0]","[40.92755711388042]","[143.0]","[62.105793043831994]","[1195622469]","[2407.8463999988235]","[true]","[46.0]","[47329.85679999668]","[1.0]","[5.0]","[926.0]","[true]","[9.0]","[94.0]","[391.0]","[false]","[10.0]","[243.0]"
33200,33200,44.74697265200472,0.9578289809148652,8.117845186724288,71.11344092807262,57.72672461765403,35.74936689243066,52834.149599993914,39.0,1,"[0.9578289809148652]","[92.24]","[44.74697265200472]","[10.0]","[8.117845186724288]","[5.0]","[57.72672461765403]","[154.0]","[71.11344092807262]","[-2146512171]","[8060.375999996184]","[true]","[39.0]","[52834.149599993914]","[1.0]","[35.74936689243066]","[4591.0]","[true]","[9.0]","[95.0]","[4056.0]","[false]","[10.0]","[247.0]"
33200,33200,100.0,0.7005886770473717,10.0,3.9925436309417015,5.894289617318802,5.0,43884.10239999827,46.0,2,"[0.7005886770473717,0.7005886770473717]","[27.33,28.499999999999996]","[100.0,100.0]","[10.0,10.0]","[10.0,10.0]","[5.0,5.0]","[5.894289617318802,5.894289617318802]","[782.0,774.0]","[3.9925436309417015,3.9925436309417015]","[-354002870,-855954252]","[-1581.0881999994745,-845.0373999993608]","[true,true]","[55.0,46.0]","[43884.10239999827,43983.260799998316]","[1.0,1.0]","[5.0,5.0]","[165.0,204.0]","[true,true]","[9.0,9.0]","[88.0,90.0]","[-370.0,-331.0]","[false,false]","[10.0,10.0]","[46.0,37.0]"
